"V1"|"V2"
"455"|"100457"|"101017"
"456"|"100459"|"104943"
"457"|"100459"|"101471"
"458"|"100459"|"101571"
"459"|"100459"|"105389"
"460"|"100459"|"105025"
"461"|"100459"|"101195"
"462"|"100459"|"101420"
"463"|"100464"|"100457"
"464"|"100468"|"105072"
"465"|"100468"|"101052"
"466"|"100468"|"103675"
"467"|"100468"|"102934"
"468"|"100468"|"105955"
"469"|"100468"|"101415"
"470"|"100468"|"108954"
"471"|"100468"|"101620"
"472"|"100473"|"103971"
"473"|"100473"|"105489"
"474"|"100473"|"104490"
"475"|"100473"|"103984"
"476"|"100473"|"105206"
"477"|"100473"|"104631"
"478"|"100473"|"105132"
"479"|"100473"|"105165"
"480"|"100473"|"103996"
"481"|"100473"|"104098"
"482"|"100473"|"103995"
"483"|"100473"|"101147"
"484"|"100473"|"102520"
"485"|"100473"|"104352"
"486"|"100473"|"104488"
"487"|"100489"|"103847"
"488"|"100489"|"102154"
"489"|"100489"|"107818"
"490"|"100489"|"105327"
"491"|"100489"|"107122"
"492"|"100489"|"106412"
"493"|"100489"|"104777"
"494"|"100489"|"108196"
"495"|"100489"|"102617"
"496"|"100489"|"106381"
"497"|"100489"|"106375"
"498"|"100489"|"100042"
"499"|"100489"|"107357"
"500"|"100489"|"105043"
"501"|"100489"|"109963"
"502"|"100497"|"105311"
"503"|"100501"|"103625"
"504"|"100501"|"102492"
"505"|"100501"|"102006"
"506"|"100501"|"102868"
"507"|"100501"|"102064"
"508"|"100501"|"101932"
"509"|"100508"|"107093"
"510"|"100508"|"105237"
"511"|"100508"|"101489"
"512"|"100508"|"101491"
"513"|"100508"|"101450"
"514"|"100510"|"100473"
"515"|"100510"|"105202"
"516"|"100510"|"106488"
"517"|"100510"|"105489"
"518"|"100510"|"106612"
"519"|"100510"|"104356"
"520"|"100510"|"103965"
"521"|"100510"|"104000"
"522"|"100510"|"109596"
"523"|"100510"|"105165"
"524"|"100510"|"104307"
"525"|"100510"|"102391"
"526"|"100510"|"104483"
"527"|"100510"|"104368"
"528"|"100510"|"103984"
"529"|"100514"|"104356"
"530"|"100514"|"107745"
"531"|"100514"|"105133"
"532"|"100514"|"106612"
"533"|"100514"|"104000"
"534"|"100514"|"104631"
"535"|"100514"|"100589"
"536"|"100514"|"103984"
"537"|"100514"|"100581"
"538"|"100519"|"108684"
"539"|"100519"|"108901"
"540"|"100519"|"105072"
"541"|"100519"|"100589"
"542"|"100519"|"101620"
"543"|"100519"|"102454"
"544"|"100523"|"108938"
"545"|"100523"|"104812"
"546"|"100523"|"107368"
"547"|"100523"|"104658"
"548"|"100523"|"108532"
"549"|"100523"|"104112"
"550"|"100523"|"109565"
"551"|"100523"|"105235"
"552"|"100523"|"100009"
"553"|"100523"|"103724"
"554"|"100523"|"105081"
"555"|"100523"|"105314"
"556"|"100523"|"107556"
"557"|"100523"|"107656"
"558"|"100523"|"103939"
"559"|"100547"|"100102"
"560"|"100547"|"105025"
"561"|"100547"|"101195"
"562"|"100547"|"101420"
"563"|"100547"|"101452"
"564"|"100547"|"101471"
"565"|"100547"|"101635"
"566"|"100547"|"107261"
"567"|"100579"|"104574"
"568"|"100579"|"105314"
"569"|"100581"|"100514"
"570"|"100589"|"109566"
"571"|"100589"|"105226"
"572"|"100597"|"100598"
"573"|"100597"|"109516"
"574"|"100597"|"106014"
"575"|"100597"|"100042"
"576"|"100597"|"102176"
"577"|"100597"|"109963"
"578"|"100597"|"105721"
"579"|"100597"|"105379"
"580"|"100597"|"107605"
"581"|"100597"|"106260"
"582"|"100597"|"104855"
"583"|"100597"|"101291"
"584"|"100597"|"101812"
"585"|"100597"|"100109"
"586"|"100597"|"107630"
"587"|"100598"|"108796"
"588"|"100598"|"105235"
"589"|"100598"|"107321"
"590"|"100598"|"104533"
"591"|"100598"|"107751"
"592"|"100598"|"105327"
"593"|"100598"|"107556"
"594"|"100598"|"104881"
"595"|"100598"|"107949"
"596"|"100598"|"105753"
"597"|"100598"|"100523"
"598"|"100598"|"103288"
"599"|"100598"|"104861"
"600"|"100598"|"103939"
"601"|"100598"|"104063"
"602"|"100605"|"107818"
"603"|"100605"|"102939"
"604"|"100605"|"103067"
"605"|"100605"|"106375"
"606"|"100605"|"108743"
"607"|"100605"|"105482"
"608"|"100605"|"105855"
"609"|"100605"|"109375"
"610"|"100605"|"107357"
"611"|"100605"|"109733"
"612"|"100605"|"100973"
"613"|"100605"|"105043"
"614"|"100605"|"105753"
"615"|"100605"|"103733"
"616"|"100605"|"105044"
"617"|"100609"|"100973"
"618"|"100609"|"106195"
"619"|"100609"|"108196"
"620"|"100609"|"106425"
"621"|"100609"|"108940"
"622"|"100609"|"105235"
"623"|"100609"|"102939"
"624"|"100609"|"102617"
"625"|"100609"|"109406"
"626"|"100609"|"104881"
"627"|"100609"|"103405"
"628"|"100609"|"106958"
"629"|"100609"|"105314"
"630"|"100609"|"109375"
"631"|"100609"|"105075"
"632"|"100610"|"106129"
"633"|"100610"|"106249"
"634"|"100658"|"107292"
"635"|"100658"|"101847"
"636"|"100658"|"108831"
"637"|"100658"|"103456"
"638"|"100658"|"108714"
"639"|"100658"|"100831"
"640"|"100658"|"105311"
"641"|"100658"|"100937"
"642"|"100658"|"101552"
"643"|"100658"|"108713"
"644"|"100658"|"107142"
"645"|"100658"|"108710"
"646"|"100658"|"108711"
"647"|"100658"|"100923"
"648"|"100658"|"109005"
"649"|"100672"|"102839"
"650"|"100672"|"102311"
"651"|"100672"|"100050"
"652"|"100672"|"102452"
