state|county|totpop|totalhouseholds|whitepct|blackpct|asianpct|hispanpct|foreignlangpct|average_household_size|home_own_pct|median_home_value|median_rent|pct_moved_last_two_years|median_income|percent_poor|healthpct|bachelorpct|firstreg|secondreg|thirdreg
"Iowa"|"Crawford County"|17034|6437|.8582247|.0280028|.0207233|.2807327|.3498884|2.55|.6914712|93400|631|.021|55755|.133|.9036633|.0692145|"Evangelical Protestant"|"Lutheran Missouri Synod"|"Catholic"
"Iowa"|"Dallas County"|87099|34399|.9056706|.0189899|.0450981|.0612407|.179738|2.52|.7373179|248100|1045|.013|88479|.029|.9637539|.2283838|"Mainline Protestant"|"Evangelical Lutheran"|"Evangelical Protestant"
"Iowa"|"Davis County"|8920|3176|.9764574|.0004484|.0063901|.0146861|.2716368|2.77|.8520151|115000|631|.021|63404|.073|.7269058|.0932735|"Evangelical Protestant"|"Mainline Protestant"|"Amish"
"Iowa"|"Decatur County"|7979|3200|.9464845|.0176714|.0073944|.0299536|.1179346|2.25|.6703125|83200|567|.022|44462|.119|.8935957|.0873543|"Evangelical Protestant"|"Community of Christ"|"Mainline Protestant"
"Iowa"|"Delaware County"|17183|6907|.9753826|.0020951|.0036664|.0155386|.0864226|2.45|.8436369|136100|621|.016|63750|.051|.9609498|.0811267|"Catholic"|"Mainline Protestant"|"United Methodist"
"Iowa"|"Des Moines County"|39386|16891|.9013863|.05733|.0076677|.0321434|.0892195|2.29|.7031555|108500|778|.016|51267|.117|.9389884|.0966841|"Mainline Protestant"|"Catholic"|"Evangelical Protestant"
"Iowa"|"Dickinson County"|17127|8174|.974076|.0044958|.0088749|.0200852|.0750861|2.07|.7938586|194300|844|.02|59969|.044|.9492614|.1828692|"Mainline Protestant"|"Catholic"|"United Methodist"
"Iowa"|"Dubuque County"|96982|38210|.9257904|.0354705|.0108268|.0246953|.1030088|2.43|.7333944|166800|783|.011|63031|.068|.9497123|.132272|"Catholic"|"Mainline Protestant"|"Evangelical Protestant"
"Iowa"|"Emmet County"|9438|4036|.9460691|.021085|.0025429|.0974783|.1306421|2.1|.7809712|89300|694|.024|51563|.082|.9098326|.0967366|"Mainline Protestant"|"Evangelical Lutheran"|"Catholic"
"Iowa"|"Fayette County"|19803|8200|.9538959|.0224208|.0025249|.0244407|.0842297|2.33|.7657317|104100|612|.017|51128|.068|.9344039|.087209|"Mainline Protestant"|"Evangelical Lutheran"|"Catholic"
"Iowa"|"Floyd County"|15786|6903|.9395667|.0171671|.0150133|.0323705|.1340428|2.24|.7121542|106200|539|.02|50406|.102|.9030787|.1065501|"Mainline Protestant"|"Catholic"|"Evangelical Lutheran"
"Iowa"|"Franklin County"|10162|4192|.9514859|.0024601|0|.127534|.161484|2.38|.7466603|94100|699|.015|56419|.101|.9273765|.0965361|"Mainline Protestant"|"United Methodist"|"Evangelical Protestant"
"Iowa"|"Fremont County"|6946|2945|.9522027|.0079182|0|.0277858|.0859488|2.31|.7633277|109300|661|.019|56750|.068|.9389577|.0914195|"Mainline Protestant"|"United Methodist"|"Catholic"
"Iowa"|"Greene County"|8950|3971|.9576536|.0053631|.0073743|.0290503|.0953073|2.22|.734072|94700|638|.019|53050|.062|.9641341|.0911732|"Mainline Protestant"|"United Methodist"|"Evangelical Protestant"
"Iowa"|"Grundy County"|12299|5155|.9821936|.0060167|.0027645|.0128466|.0766729|2.35|.8155189|130200|633|.014|68038|.036|.9673957|.1535897|"Mainline Protestant"|"United Methodist"|"Evangelical Protestant"
"Iowa"|"Guthrie County"|10669|4452|.9673821|.0031868|.002437|.0271816|.0780767|2.36|.796496|117900|682|.017|61161|.052|.9550098|.0963539|"Mainline Protestant"|"United Methodist"|"Catholic"
"Iowa"|"Hamilton County"|14997|6259|.9386544|.0134694|.0303394|.0602787|.1361606|2.36|.7237578|106100|709|.021|60910|.052|.9572581|.1290258|"Mainline Protestant"|"Evangelical Protestant"|"United Methodist"
"Iowa"|"Hancock County"|10802|4790|.9655619|.015923|.0049065|.0440659|.0893353|2.21|.7707725|102200|642|.024|61761|.081|.9513979|.1345121|"Mainline Protestant"|"Evangelical Protestant"|"United Methodist"
"Iowa"|"Hardin County"|17061|7148|.9502374|.0129535|.000762|.0435496|.0853994|2.27|.7488808|94300|639|.017|54196|.062|.9313639|.1000528|"Mainline Protestant"|"Evangelical Protestant"|"United Methodist"
"Iowa"|"Harrison County"|14089|6019|.9751579|.0019164|.0048974|.0173895|.0710483|2.29|.7572687|120600|715|.016|63854|.062|.9443538|.0995103|"Mainline Protestant"|"Evangelical Protestant"|"Catholic"
